fecha,temp_media_c,precip_total_mm
2016-01-01,22.7,0.7
2016-01-02,22.4,2.0
2016-01-03,21.3,7.6
2016-01-04,21.4,3.8
2016-01-05,21.9,7.3
2016-01-06,21.7,13.2
2016-01-07,22.1,4.5
2016-01-08,21.8,5.0
2016-01-09,21.6,6.9
2016-01-10,20.9,52.5
2016-01-11,20.6,32.9
2016-01-12,21.3,1.2
2016-01-13,21.0,13.0
2016-01-14,20.8,4.2
2016-01-15,21.6,0.0
2016-01-16,21.8,0.1
2016-01-17,21.9,0.6
2016-01-18,21.5,1.4
2016-01-19,21.0,0.8
2016-01-20,21.1,2.7
2016-01-21,21.5,6.2
2016-01-22,21.7,3.8
2016-01-23,22.1,1.6
2016-01-24,21.9,13.6
2016-01-25,22.5,27.0
2016-01-26,22.1,1.1
2016-01-27,21.6,1.3
2016-01-28,21.0,0.6
2016-01-29,20.8,3.9
2016-01-30,20.3,30.2
2016-01-31,20.9,1.6
2016-02-01,21.8,0.8
2016-02-02,21.0,0.0
2016-02-03,21.2,3.0
2016-02-04,20.7,2.0
2016-02-05,20.9,5.2
2016-02-06,22.1,0.2
2016-02-07,22.4,2.6
2016-02-08,22.6,3.9
2016-02-09,22.5,4.3
2016-02-10,21.5,2.8
2016-02-11,22.1,3.5
2016-02-12,21.7,1.8
2016-02-13,22.2,1.6
2016-02-14,22.7,4.0
2016-02-15,22.4,0.5
2016-02-16,22.0,4.3
2016-02-17,22.0,3.7
2016-02-18,22.1,2.2
2016-02-19,23.4,0.7
2016-02-20,22.3,2.2
2016-02-21,21.6,15.1
2016-02-22,21.9,9.5
2016-02-23,22.4,24.5
2016-02-24,22.0,10.4
2016-02-25,21.8,15.3
2016-02-26,21.6,16.0
2016-02-27,22.4,35.3
2016-02-28,22.5,13.2
2016-02-29,21.9,4.5
2016-03-01,21.6,15.1
2016-03-02,21.8,9.6
2016-03-03,21.8,5.9
2016-03-04,21.2,10.1
2016-03-05,21.7,2.0
2016-03-06,20.5,21.0
2016-03-07,20.6,3.9
2016-03-08,21.2,10.5
2016-03-09,21.7,13.6
2016-03-10,22.1,11.9
2016-03-11,21.7,41.4
2016-03-12,21.9,18.7
2016-03-13,21.5,16.7
2016-03-14,21.7,11.2
2016-03-15,22.3,0.0
2016-03-16,22.1,1.3
2016-03-17,21.8,3.5
2016-03-18,22.0,11.7
2016-03-19,22.1,0.4
2016-03-20,22.6,1.4
2016-03-21,22.4,0.6
2016-03-22,22.2,1.3
2016-03-23,22.3,0.0
2016-03-24,22.4,0.2
2016-03-25,22.6,2.6
2016-03-26,23.2,14.8
2016-03-27,22.7,3.9
2016-03-28,21.5,63.1
2016-03-29,22.0,14.2
2016-03-30,22.2,5.9
2016-03-31,21.6,38.2
2016-04-01,21.1,25.7
2016-04-02,20.8,25.0
2016-04-03,20.4,1.1
2016-04-04,21.0,0.0
2016-04-05,21.9,4.2
2016-04-06,22.9,0.0
2016-04-07,23.0,1.3
2016-04-08,22.2,18.1
2016-04-09,22.3,1.2
2016-04-10,22.0,17.9
2016-04-11,21.3,91.0
2016-04-12,20.5,50.4
2016-04-13,21.2,6.8
2016-04-14,22.2,0.4
2016-04-15,23.4,0.1
2016-04-16,22.6,6.6
2016-04-17,22.6,1.2
2016-04-18,22.3,2.1
2016-04-19,22.1,5.0
2016-04-20,22.3,2.8
2016-04-21,22.7,0.6
2016-04-22,22.7,0.0
2016-04-23,22.4,1.0
2016-04-24,21.1,15.5
2016-04-25,21.4,34.3
2016-04-26,21.8,45.4
2016-04-27,21.5,29.2
2016-04-28,21.2,45.0
2016-04-29,21.8,2.9
2016-04-30,22.2,1.5
2016-05-01,21.4,14.9
2016-05-02,21.0,17.5
2016-05-03,21.2,0.2
2016-05-04,22.0,0.9
2016-05-05,21.7,0.6
2016-05-06,22.5,0.2
2016-05-07,21.7,9.8
2016-05-08,21.6,58.9
2016-05-09,20.8,38.4
2016-05-10,21.1,8.1
2016-05-11,21.4,0.4
2016-05-12,22.1,0.1
2016-05-13,22.7,0.0
2016-05-14,22.2,0.0
2016-05-15,22.9,0.1
2016-05-16,22.3,0.0
2016-05-17,21.8,0.6
2016-05-18,21.6,4.8
2016-05-19,22.1,3.1
2016-05-20,22.4,0.6
2016-05-21,22.6,1.1
2016-05-22,22.5,0.5
2016-05-23,22.7,0.0
2016-05-24,22.5,0.0
2016-05-25,21.5,4.1
2016-05-26,21.0,23.2
2016-05-27,22.1,0.0
2016-05-28,21.4,0.0
2016-05-29,20.8,3.9
2016-05-30,21.0,22.5
2016-05-31,20.6,31.2
2016-06-01,22.0,2.5
2016-06-02,21.2,2.7
2016-06-03,21.0,2.6
2016-06-04,21.2,3.3
2016-06-05,21.4,2.9
2016-06-06,20.9,31.4
2016-06-07,21.0,0.0
2016-06-08,22.0,1.4
2016-06-09,20.8,2.0
2016-06-10,20.4,0.8
2016-06-11,21.2,0.0
2016-06-12,21.3,0.0
2016-06-13,21.5,0.0
2016-06-14,20.7,2.8
2016-06-15,21.3,0.1
2016-06-16,21.5,0.0
2016-06-17,21.0,0.1
2016-06-18,21.1,1.5
2016-06-19,21.0,0.1
2016-06-20,21.0,2.1
2016-06-21,21.1,0.0
2016-06-22,21.2,0.2
2016-06-23,21.1,9.3
2016-06-24,20.5,13.1
2016-06-25,20.7,3.6
2016-06-26,21.5,0.0
2016-06-27,21.9,3.0
2016-06-28,22.2,4.7
2016-06-29,21.7,0.0
2016-06-30,21.9,0.0
2016-07-01,21.5,1.2
2016-07-02,21.0,4.6
2016-07-03,21.3,1.8
2016-07-04,21.0,9.5
2016-07-05,21.3,7.5
2016-07-06,21.6,0.0
2016-07-07,22.5,0.0
2016-07-08,22.1,0.0
2016-07-09,21.9,0.0
2016-07-10,21.4,0.0
2016-07-11,20.6,0.0
2016-07-12,20.8,1.4
2016-07-13,20.4,2.3
2016-07-14,20.2,3.6
2016-07-15,20.3,17.7
2016-07-16,20.4,14.1
2016-07-17,21.2,1.7
2016-07-18,20.7,2.6
2016-07-19,21.2,1.4
2016-07-20,21.0,2.7
2016-07-21,20.5,0.2
2016-07-22,20.6,3.6
2016-07-23,20.0,2.8
2016-07-24,20.2,9.9
2016-07-25,21.5,3.8
2016-07-26,21.3,0.2
2016-07-27,21.8,0.5
2016-07-28,21.5,0.2
2016-07-29,20.9,0.0
2016-07-30,20.9,0.3
2016-07-31,21.2,0.1
2016-08-01,21.1,0.2
2016-08-02,21.1,0.0
2016-08-03,21.8,0.4
2016-08-04,20.8,0.0
2016-08-05,21.6,0.0
2016-08-06,22.0,0.0
2016-08-07,21.8,9.5
2016-08-08,22.0,2.1
2016-08-09,22.0,5.2
2016-08-10,21.3,3.0
2016-08-11,21.1,1.3
2016-08-12,20.2,1.1
2016-08-13,20.7,0.0
2016-08-14,20.3,0.0
2016-08-15,20.5,1.0
2016-08-16,20.7,1.3
2016-08-17,21.3,0.2
2016-08-18,21.6,1.9
2016-08-19,21.5,2.9
2016-08-20,21.0,0.3
2016-08-21,21.6,0.0
2016-08-22,21.8,0.0
2016-08-23,22.1,0.0
2016-08-24,21.1,0.1
2016-08-25,21.2,7.0
2016-08-26,20.8,21.6
2016-08-27,20.8,3.4
2016-08-28,20.8,9.5
2016-08-29,21.5,15.1
2016-08-30,20.9,11.5
2016-08-31,20.6,2.6
2016-09-01,20.3,23.0
2016-09-02,20.2,3.5
2016-09-03,20.6,14.7
2016-09-04,20.9,0.6
2016-09-05,21.1,0.1
2016-09-06,21.0,1.1
2016-09-07,20.5,11.9
2016-09-08,21.0,1.6
2016-09-09,21.3,10.2
2016-09-10,21.0,3.0
2016-09-11,20.6,10.6
2016-09-12,20.0,5.6
2016-09-13,20.3,10.2
2016-09-14,20.6,6.4
2016-09-15,21.4,4.0
2016-09-16,21.1,0.6
2016-09-17,20.6,0.0
2016-09-18,21.1,2.6
2016-09-19,21.4,0.4
2016-09-20,21.4,0.0
2016-09-21,20.0,3.5
2016-09-22,20.8,2.2
2016-09-23,20.8,1.3
2016-09-24,21.0,1.3
2016-09-25,20.9,5.0
2016-09-26,20.5,1.0
2016-09-27,20.7,2.7
2016-09-28,20.3,1.8
2016-09-29,20.6,13.1
2016-09-30,20.7,51.3
2016-10-01,19.8,72.5
2016-10-02,21.0,16.8
2016-10-03,21.4,3.3
2016-10-04,20.6,14.3
2016-10-05,21.6,5.3
2016-10-06,20.4,10.9
2016-10-07,19.9,12.7
2016-10-08,20.6,10.5
2016-10-09,20.4,36.4
2016-10-10,21.0,11.5
2016-10-11,20.9,2.3
2016-10-12,21.1,0.3
2016-10-13,20.7,1.4
2016-10-14,21.6,3.3
2016-10-15,22.0,1.1
2016-10-16,21.1,4.6
2016-10-17,21.4,7.1
2016-10-18,20.2,47.9
2016-10-19,20.9,0.3
2016-10-20,20.8,2.9
2016-10-21,20.7,1.3
2016-10-22,20.1,51.1
