ano,semana,casos_dengue
2015,2,221
2018,2,31
2020,2,390
2017,3,198
2018,3,31
2019,3,32
2017,4,178
2019,5,39
2016,6,834
2019,6,40
2015,7,387
2018,8,34
2017,9,93
2015,10,366
2020,10,676
2022,10,56
2016,11,414
2021,11,141
2018,12,23
2020,12,402
2015,13,400
2021,4,196
2016,1,401
2021,1,150
2022,1,54
2016,2,475
2017,2,146
2015,3,273
2018,4,24
2019,4,38
2020,4,597
2016,5,734
2017,5,162
2022,5,68
2015,6,342
2020,6,674
2018,7,35
2019,7,40
2021,7,183
2017,8,99
2022,8,58
2021,10,160
2020,11,627
2015,12,336
2021,12,140
2016,13,551
2021,5,185
2022,6,50
2016,7,817
2015,8,297
2018,9,25
2020,9,566
2016,10,632
2017,10,67
2018,11,44
2017,12,70
2022,12,65
2018,13,26
2019,13,34
2022,2,63
2020,3,523
2016,8,699
2020,8,619
2021,8,182
2015,9,388
2022,9,61
2018,10,41
2015,11,357
2017,11,78
2019,11,44
2022,11,57
2019,12,40
2015,1,205
2017,1,146
2019,2,32
2021,2,140
2022,3,55
2016,4,628
2015,5,366
2018,6,31
2017,7,108
2020,7,640
2019,9,38
2019,10,38
2016,12,431
2020,13,333
2018,1,52
2019,1,44
2020,1,357
2016,3,533
2021,3,142
2015,4,297
2022,4,46
2018,5,22
2020,5,658
2017,6,127
2021,6,162
2022,7,50
2019,8,36
2016,9,760
2021,9,165
2019,15,31
2017,17,76
2022,17,58
2018,18,37
2021,18,78
2015,19,433
2020,19,221
2017,20,96
2019,20,48
2017,22,59
2015,24,298
2022,24,67
2018,25,57
2020,26,150
2019,28,42
2019,30,45
2020,30,152
2018,33,29
2019,33,62
2015,34,162
2022,34,60
2017,36,39
2015,37,195
2016,38,151
2020,38,111
2017,39,32
2020,40,93
2022,40,39
2016,41,97
2021,41,109
2015,42,154
2022,42,44
2018,43,21
2019,43,94
2017,44,37
2019,44,115
2019,46,137
2022,47,58
2020,49,129
2018,50,36
2015,51,258
2022,51,36
2016,52,134
2021,52,78
2022,52,44
2018,17,44
2022,13,58
2020,14,352
2021,14,143
2017,16,78
2020,17,273
2015,18,507
2016,19,704
2015,20,382
2022,20,65
2018,21,48
2020,21,222
2015,22,383
2018,22,59
2016,23,629
2017,23,62
2018,23,54
2019,23,41
2016,24,542
2018,24,61
2020,24,165
2015,25,298
2016,25,478
2017,25,45
2016,26,398
2017,26,55
2019,26,45
2015,27,269
2015,28,264
2017,28,50
2018,29,28
2019,29,53
2017,30,59
2015,31,216
2020,31,123
2016,32,189
2019,32,57
2016,33,183
2021,33,112
2018,35,31
2015,36,158
2022,36,79
2020,37,116
2022,38,44
2022,39,48
2017,40,48
2019,42,78
2016,45,113
2021,45,86
2015,46,154
2022,46,64
2019,51,271
2020,52,142
2017,13,90
2017,14,84
2018,14,27
2015,15,406
2018,15,32
2022,15,62
2015,16,354
2016,16,474
2022,16,63
2016,17,489
2021,17,64
2022,18,62
2019,19,36
2021,19,79
2020,20,230
2021,21,73
2022,26,47
2021,29,119
2015,30,215
2022,30,41
2017,32,38
2015,33,197
2017,33,44
2016,34,180
2018,34,28
2019,34,67
2016,35,137
2017,35,46
2019,35,72
2020,35,131
2021,35,102
2018,36,33
2019,37,84
2017,38,44
2015,39,151
2021,40,93
2022,41,39
2015,43,130
2017,43,48
2018,44,19
2017,45,47
2019,45,133
2018,47,23
2016,48,104
2017,48,66
2021,48,95
2015,49,249
2022,49,56
2015,50,255
2016,51,112
2017,51,41
2018,52,23
2016,14,521
2019,14,38
2020,15,283
2021,16,75
2019,17,44
2017,19,79
2016,21,583
2019,21,38
2020,22,168
2022,22,61
2021,23,103
2019,24,42
2021,24,92
2021,25,116
2022,25,55
2021,26,99
2020,27,172
2022,27,53
2022,28,53
2020,29,138
2022,31,53
2021,32,103
2022,33,61
2020,34,116
2021,34,88
2020,36,118
2018,37,23
2015,38,155
2020,39,117
2016,40,122
2019,40,98
2015,41,135
2016,42,160
2018,42,25
2020,42,99
2021,42,71
2016,43,118
2021,43,75
2022,43,51
2015,44,169
2020,44,98
2022,44,59
2018,45,27
2020,45,123
2017,46,59
2019,47,159
2020,47,109
2019,48,170
2022,50,34
2021,51,100
2022,14,47
2021,15,114
2019,16,25
2020,16,259
2017,18,80
2020,18,237
2018,19,43
2022,19,50
2016,20,684
2018,20,51
2021,20,101
2015,21,365
2017,21,93
2022,21,63
2016,22,582
2015,23,300
2020,23,190
2019,27,52
2018,28,33
2017,29,43
2021,30,79
2016,31,210
2018,31,42
2021,31,121
2015,32,165
2022,32,49
2017,34,44
2019,36,73
2016,37,124
2017,37,29
2018,38,27
2019,38,95
2016,39,113
2018,39,27
2019,39,77
2021,39,74
2018,40,22
2017,41,40
2020,43,117
2021,44,88
2022,45,61
2016,46,124
2020,48,90
2016,49,129
2016,50,162
2019,50,198
2020,51,115
2017,52,37
2020,53,112
2021,13,121
2015,14,575
2016,15,546
2017,15,83
2018,16,29
2015,17,540
2016,18,594
2019,18,34
2019,22,47
2021,22,109
2022,23,38
2017,24,62
2019,25,46
2020,25,181
2015,26,288
2018,26,40
2016,27,352
2017,27,60
2018,27,51
2021,27,77
