Fecha,casos_dengue,Tipo de Dato,temp_media_semanal,precip_total_semanal
2016-01-04,401.0,Histórico,21.95,14.1
2016-01-11,475.0,Histórico,21.514285714285712,122.3
2016-01-18,533.0,Histórico,21.414285714285715,20.5
2016-01-25,628.0,Histórico,21.685714285714287,55.7
2016-02-01,734.0,Histórico,21.214285714285715,39.5
2016-02-08,834.0,Histórico,21.557142857142857,16.9
2016-02-15,817.0,Histórico,22.157142857142855,18.5
2016-02-22,699.0,Histórico,22.185714285714287,37.7
2016-02-29,760.0,Histórico,22.085714285714285,119.2
2016-03-07,632.0,Histórico,21.314285714285713,67.6
2016-03-14,414.0,Histórico,21.685714285714287,124.0
2016-03-21,431.0,Histórico,22.185714285714287,18.9
2016-03-28,551.0,Histórico,22.414285714285715,85.9
2016-04-04,521.0,Histórico,21.3,110.10000000000001
2016-04-11,546.0,Histórico,22.228571428571428,133.7
2016-04-18,474.0,Histórico,22.114285714285717,67.6
2016-04-25,489.0,Histórico,22.099999999999998,59.199999999999996
2016-05-02,594.0,Histórico,21.557142857142857,156.4
2016-05-09,704.0,Histórico,21.642857142857142,109.0
2016-05-16,684.0,Histórico,22.099999999999998,8.7
2016-05-23,583.0,Histórico,22.24285714285714,10.7
2016-05-30,582.0,Histórico,21.47142857142857,53.7
2016-06-06,629.0,Histórico,21.185714285714287,76.6
2016-06-13,542.0,Histórico,21.17142857142857,4.2
2016-06-20,478.0,Histórico,21.085714285714285,6.699999999999999
2016-06-27,398.0,Histórico,21.142857142857142,29.2
2016-07-04,352.0,Histórico,21.514285714285712,21.8
2016-07-11,327.0,Histórico,21.62857142857143,7.5
2016-07-18,234.0,Histórico,20.571428571428573,43.4
2016-07-25,178.0,Histórico,20.714285714285715,24.400000000000002
2016-08-01,210.0,Histórico,21.24285714285714,1.5
2016-08-08,189.0,Histórico,21.585714285714285,12.0
2016-08-15,183.0,Histórico,20.87142857142857,11.6
2016-08-22,180.0,Histórico,21.357142857142858,6.6
2016-08-29,137.0,Histórico,21.185714285714287,56.7
2016-09-05,144.0,Histórico,20.657142857142855,56.0
2016-09-12,124.0,Histórico,20.771428571428572,44.0
2016-09-19,151.0,Histórico,20.928571428571427,24.2
2016-09-26,113.0,Histórico,20.771428571428572,14.3
2016-10-03,122.0,Histórico,20.642857142857142,161.5
2016-10-10,97.0,Histórico,20.642857142857142,101.6
2016-10-17,160.0,Histórico,21.25714285714286,20.1
2016-10-24,118.0,Histórico,20.52857142857143,175.2
2016-10-31,130.0,Histórico,20.271428571428572,178.60000000000002
2016-11-07,113.0,Histórico,21.02857142857143,53.5
2016-11-14,124.0,Histórico,20.785714285714285,160.7
2016-11-21,150.0,Histórico,20.042857142857144,78.9
2016-11-28,104.0,Histórico,21.042857142857144,70.9
2016-12-05,129.0,Histórico,20.771428571428572,81.69999999999999
2016-12-12,162.0,Histórico,20.571428571428573,79.2
2016-12-19,112.0,Histórico,21.0,34.9
2016-12-26,134.0,Histórico,20.2,158.1
2017-01-02,146.0,Histórico,21.071428571428573,76.2
2017-01-09,146.0,Histórico,21.114285714285717,91.9
2017-01-16,198.0,Histórico,20.585714285714285,104.69999999999999
2017-01-23,178.0,Histórico,20.400000000000002,64.2
2017-01-30,162.0,Histórico,20.771428571428572,147.3
2017-02-06,127.0,Histórico,21.485714285714288,112.2
2017-02-13,108.0,Histórico,21.657142857142855,43.4
2017-02-20,99.0,Histórico,21.3,14.899999999999999
2017-02-27,93.0,Histórico,20.942857142857143,31.200000000000003
2017-03-06,67.0,Histórico,21.228571428571428,131.6
2017-03-13,78.0,Histórico,20.942857142857143,153.5
2017-03-20,70.0,Histórico,20.928571428571427,61.7
2017-03-27,90.0,Histórico,21.2,84.2
2017-04-03,84.0,Histórico,21.185714285714287,119.4
2017-04-10,83.0,Histórico,21.642857142857142,146.0
2017-04-17,78.0,Histórico,21.685714285714287,211.70000000000002
2017-04-24,76.0,Histórico,21.557142857142857,103.1
2017-05-01,80.0,Histórico,21.3,170.0
2017-05-08,79.0,Histórico,21.11428571428571,127.7
2017-05-15,96.0,Histórico,21.142857142857142,84.3
2017-05-22,93.0,Histórico,21.214285714285715,176.8
2017-05-29,59.0,Histórico,21.728571428571428,138.5
2017-06-05,62.0,Histórico,21.7,121.9
2017-06-12,62.0,Histórico,21.014285714285712,120.89999999999999
2017-06-19,45.0,Histórico,20.728571428571428,119.2
2017-06-26,55.0,Histórico,20.87142857142857,184.2
2017-07-03,60.0,Histórico,21.099999999999998,131.6
2017-07-10,50.0,Histórico,21.32857142857143,155.6
2017-07-17,43.0,Histórico,21.157142857142855,124.60000000000001
2017-07-24,59.0,Histórico,21.214285714285715,195.9
2017-07-31,44.0,Histórico,21.24285714285714,166.3
2017-08-07,38.0,Histórico,21.285714285714285,116.6
2017-08-14,44.0,Histórico,21.214285714285715,128.5
2017-08-21,44.0,Histórico,21.014285714285712,134.3
2017-08-28,46.0,Histórico,20.957142857142856,140.0
2017-09-04,39.0,Histórico,21.400000000000002,84.2
2017-09-11,29.0,Histórico,21.185714285714287,92.6
2017-09-18,44.0,Histórico,21.457142857142856,176.7
2017-09-25,32.0,Histórico,21.74285714285714,181.8
2017-10-02,48.0,Histórico,21.157142857142855,112.1
2017-10-09,40.0,Histórico,20.599999999999998,101.8
2017-10-16,46.0,Histórico,21.357142857142858,117.4
2017-10-23,48.0,Histórico,21.614285714285717,130.7
2017-10-30,37.0,Histórico,20.599999999999998,69.4
2017-11-06,47.0,Histórico,21.157142857142855,71.1
2017-11-13,59.0,Histórico,21.285714285714285,92.9
2017-11-20,49.0,Histórico,20.571428571428573,130.3
2017-11-27,66.0,Histórico,21.057142857142857,53.0
2017-12-04,43.0,Histórico,21.314285714285713,132.3
2017-12-11,53.0,Histórico,21.057142857142857,125.6
2017-12-18,41.0,Histórico,21.17142857142857,63.1
2017-12-25,37.0,Histórico,21.157142857142855,84.3
2018-01-01,52.0,Histórico,20.17142857142857,82.2
2018-01-08,31.0,Histórico,20.942857142857143,55.0
2018-01-15,31.0,Histórico,20.171428571428574,132.7
2018-01-22,24.0,Histórico,20.228571428571428,164.2
2018-01-29,22.0,Histórico,20.728571428571428,84.5
2018-02-05,31.0,Histórico,21.285714285714285,111.30000000000001
2018-02-12,35.0,Histórico,21.571428571428573,60.800000000000004
2018-02-19,34.0,Histórico,21.214285714285715,118.3
2018-02-26,25.0,Histórico,20.857142857142858,13.5
2018-03-05,41.0,Histórico,20.928571428571427,81.2
2018-03-12,44.0,Histórico,21.842857142857145,72.0
2018-03-19,23.0,Histórico,21.571428571428573,74.8
2018-03-26,26.0,Histórico,21.37142857142857,149.2
2018-04-02,27.0,Histórico,20.97142857142857,154.5
2018-04-09,32.0,Histórico,20.985714285714288,77.3
2018-04-16,29.0,Histórico,20.8,121.0
2018-04-23,44.0,Histórico,21.042857142857144,150.1
2018-04-30,37.0,Histórico,20.514285714285712,157.8
2018-05-07,43.0,Histórico,21.17142857142857,120.8
2018-05-14,51.0,Histórico,20.642857142857142,104.89999999999999
2018-05-21,48.0,Histórico,20.785714285714285,157.6
2018-05-28,59.0,Histórico,20.428571428571427,195.9
2018-06-04,54.0,Histórico,21.02857142857143,184.4
2018-06-11,61.0,Histórico,20.957142857142856,229.3
2018-06-18,57.0,Histórico,21.099999999999998,208.5
2018-06-25,40.0,Histórico,20.5,248.8
2018-07-02,51.0,Histórico,19.857142857142858,202.1
2018-07-09,33.0,Histórico,20.942857142857143,143.2
2018-07-16,28.0,Histórico,21.228571428571428,124.3
2018-07-23,39.0,Histórico,20.942857142857143,356.0
2018-07-30,42.0,Histórico,20.25714285714286,275.9
2018-08-06,35.0,Histórico,20.942857142857143,164.4
2018-08-13,29.0,Histórico,21.614285714285717,37.599999999999994
2018-08-20,28.0,Histórico,21.099999999999998,134.6
2018-08-27,31.0,Histórico,21.2,184.4
2018-09-03,33.0,Histórico,21.057142857142857,217.8
2018-09-10,23.0,Histórico,21.17142857142857,137.4
2018-09-17,27.0,Histórico,20.400000000000002,120.3
2018-09-24,27.0,Histórico,21.442857142857143,137.2
2018-10-01,22.0,Histórico,21.714285714285715,136.3
2018-10-08,25.0,Histórico,21.542857142857144,92.5
2018-10-15,25.0,Histórico,21.285714285714285,22.7
2018-10-22,21.0,Histórico,21.02857142857143,73.4
2018-10-29,19.0,Histórico,21.24285714285714,134.7
2018-11-05,27.0,Histórico,20.7,101.6
2018-11-12,17.0,Histórico,21.285714285714285,105.7
2018-11-19,23.0,Histórico,21.25714285714286,133.4
2018-11-26,25.0,Histórico,21.428571428571427,96.0
2018-12-03,21.0,Histórico,21.085714285714285,74.6
2018-12-10,36.0,Histórico,21.057142857142857,103.9
2018-12-17,20.0,Histórico,21.014285714285712,199.8
2018-12-24,23.0,Histórico,21.0,121.7
2018-12-31,44.0,Histórico,21.385714285714283,91.6
2019-01-07,32.0,Histórico,22.057142857142857,52.6
2019-01-14,32.0,Histórico,20.542857142857144,56.8
2019-01-21,38.0,Histórico,21.157142857142855,138.1
2019-01-28,39.0,Histórico,21.928571428571427,88.5
2019-02-04,40.0,Histórico,21.37142857142857,151.0
2019-02-11,40.0,Histórico,21.599999999999998,169.5
2019-02-18,36.0,Histórico,21.75714285714286,127.4
2019-02-25,38.0,Histórico,21.228571428571428,169.4
2019-03-04,38.0,Histórico,21.67142857142857,44.0
2019-03-11,44.0,Histórico,21.428571428571427,144.4
2019-03-18,40.0,Histórico,21.82857142857143,103.4
